Clock Tick,Time,Arrivals,Priority,Actual Start,Status,CS,Remaining,,(In Terms of Clock Ticks),P1,P2,P3,P4,P5,P6
0,0,Process 1 Arrives,1,0,Process 1 starts Running,,9,,Turnaround Time,71,72,73,74,75,11
1,0.5,Process 2 Arrives,1,3,Process 1 is Running,,8,,Response Time,0,2,14,16,18,1
2,1,Process 3 Arrives,1,16,P1 - Context Switch,Context Switch,,,Context Switches,4,4,4,4,4,0
3,1.5,Process 4 Arrives,1,19,Process 2 starts Running,,9,,,,,,,,
4,2,Process 5 Arrives,1,22,Process 2 is Running,,8,,Average Turnaround,62.6666666,,,,,
5,2.5,Process 6 Arrives,0,6,P2 - Context Switch,Context Switch,,,Average Response,8.5,,,,,
6,3,,,,Process 6 starts Running,,9,,,,,,,,
7,3.5,,,,Process 6 is Running,,8,,,,,,,,
8,4,,,,Process 6 is Running,,7,,,,,,,,
9,4.5,,,,Process 6 is Running,,6,,,,,,,,
10,5,,,,Process 6 is Running,,5,,,,,,,,
11,5.5,,,,Process 6 is Running,,4,,,,,,,,
12,5,,,,Process 6 is Running,,3,,,,,,,,
13,6.5,,,,Process 6 is Running,,2,,,,,,,,
14,7,,,,Process 6 is Running,,1,,,,,,,,
15,7.5,,,,Process 6 is Running,,0,,,,,,,,
16,8,,,,Process 3 starts Running,,9,,,,,,,,
17,8.5,,,,Process 3 is Running,,8,,,,,,,,
18,9,,,,P3 - Context Switch,Context Switch,,,,,,,,,
19,9.5,,,,Process 4 starts Running,,9,,,,,,,,
20,10,,,,Process 4 is Running,,8,,,,,,,,
21,10.5,,,,P4 - Context Switch,,,,,,,,,,
22,11,,,,Process 5 starts Running,,9,,,,,,,,
23,11.5,,,,Process 5 is Running,,8,,,,,,,,
24,12,,,,P5 - Context Switch,Context Switch,,,,,,,,,
25,12.5,,,,Process 1 starts Running,,7,,,,,,,,
26,13,,,,Process 1 is Running,,6,,,,,,,,
27,13.5,,,,P1 - Context Switch,Context Switch,,,,,,,,,
28,14,,,,Process 2 starts Running,,7,,,,,,,,
29,14.5,,,,Process 2 is Running,,6,,,,,,,,
30,15,,,,P2 - Context Switch,Context Switch,,,,,,,,,
31,15.5,,,,Process 3 starts Running,,7,,,,,,,,
32,16,,,,Process 3 is Running,,6,,,,,,,,
33,16.5,,,,P3 - Context Switch,Context Switch,,,,,,,,,
34,17,,,,Process 4 starts Running,,7,,,,,,,,
35,17.5,,,,Process 4 is Running,,6,,,,,,,,
36,18,,,,P4 - Context Switch,Context Switch,,,,,,,,,
37,18.5,,,,Process 5 starts Running,,7,,,,,,,,
38,19,,,,Process 5 is Running,,6,,,,,,,,
39,19.5,,,,P5 - Context Switch,Context Switch,,,,,,,,,
40,20,,,,Process 1 starts Running,,5,,,,,,,,
41,20.5,,,,Process 1 is Running,,4,,,,,,,,
42,21,,,,P1 - Context Switch,Context Switch,,,,,,,,,
43,21.5,,,,Process 2 starts Running,,5,,,,,,,,
44,22,,,,Process 2 is Running,,4,,,,,,,,
45,22.5,,,,P2 - Context Switch,Context Switch,,,,,,,,,
46,23,,,,Process 3 starts Running,,5,,,,,,,,
47,23.5,,,,Process 3 is Running,,4,,,,,,,,
48,24,,,,P3 - Context Switch,Context Switch,,,,,,,,,
49,24.5,,,,Process 4 starts Running,,5,,,,,,,,
50,25,,,,Process 4 is Running,,4,,,,,,,,
51,25.5,,,,P4 - Context Switch,Context Switch,,,,,,,,,
52,26,,,,Process 5 starts Running,,5,,,,,,,,
53,26.5,,,,Process 5 is Running,,4,,,,,,,,
54,27,,,,P5 - Context Switch,Context Switch,,,,,,,,,
55,27.5,,,,Process 1 starts Running,,3,,,,,,,,
56,28,,,,Process 1 is Running,,2,,,,,,,,
57,28.5,,,,P1 - Context Switch,Context Switch,,,,,,,,,
58,29,,,,Process 2 starts Running,,3,,,,,,,,
59,29.5,,,,Process 2 is Running,,2,,,,,,,,
60,30,,,,P2 - Context Switch,Context Switch,,,,,,,,,
61,30.5,,,,Process 3 starts Running,,3,,,,,,,,
62,31,,,,Process 3 is Running,,2,,,,,,,,
63,31.5,,,,P3 - Context Switch,Context Switch,,,,,,,,,
64,32,,,,Process 4 starts Running,,3,,,,,,,,
65,32.5,,,,Process 4 is Running,,2,,,,,,,,
66,33,,,,P4 - Context Switch,Context Switch,,,,,,,,,
67,33.5,,,,Process 5 starts Running,,3,,,,,,,,
68,34,,,,Process 5 is Running,,2,,,,,,,,
69,34.5,,,,P5 - Context Switch,Context Switch,,,,,,,,,
70,35,,,,Process 1 starts Running,,1,,,,,,,,
71,35.5,,,,Process 1 is Running,,0,,,,,,,,
72,36,,,,Process 2 starts Running,,1,,,,,,,,
73,36.5,,,,Process 2 is Running,,0,,,,,,,,
74,37,,,,Process 3 starts Running,,1,,,,,,,,
75,37.5,,,,Process 3 is Running,,0,,,,,,,,
76,38,,,,Process 4 starts Running,,1,,,,,,,,
77,38.5,,,,Process 4 is Running,,0,,,,,,,,
78,39,,,,Process 5 starts Running,,1,,,,,,,,
79,39.5,,,,Process 5 is Running,,0,,,,,,,,
